date,station,hour,passengers
2024-01-01,Парк,7,712
2024-01-01,Парк,8,651
2024-01-01,Парк,9,741
2024-01-01,Парк,10,744
2024-01-01,Парк,11,506
2024-01-01,Парк,12,460
2024-01-01,Парк,13,531
2024-01-01,Парк,14,490
2024-01-01,Парк,15,514
2024-01-01,Парк,16,537
2024-01-01,Парк,17,954
2024-01-01,Парк,18,930
2024-01-01,Парк,19,1066
2024-01-01,Парк,20,927
2024-01-01,Парк,21,285
2024-01-01,Парк,22,295
2024-01-01,Парк,23,327
2024-01-01,Речная,0,105
2024-01-01,Речная,1,108
2024-01-01,Речная,2,114
2024-01-01,Речная,3,100
2024-01-01,Речная,4,89
2024-01-01,Речная,5,106
2024-01-01,Речная,6,106
2024-01-01,Речная,7,662
2024-01-01,Речная,8,744
2024-01-01,Речная,9,729
2024-01-01,Речная,10,640
2024-01-01,Речная,11,453
2024-01-01,Речная,12,428
2024-01-01,Речная,13,383
2024-01-01,Речная,14,450
2024-01-01,Речная,15,433
2024-01-01,Речная,16,409
2024-01-01,Речная,17,755
2024-01-01,Речная,18,753
2024-01-01,Речная,19,691
2024-01-01,Речная,20,748
2024-01-01,Речная,21,282
2024-01-01,Речная,22,246
2024-01-01,Речная,23,268
2024-01-02,Центральная,0,261
2024-01-02,Центральная,1,308
2024-01-02,Центральная,2,222
2024-01-02,Центральная,3,275
2024-01-02,Центральная,4,254
2024-01-02,Центральная,5,258
2024-01-02,Центральная,6,300
2024-01-02,Центральная,7,2463
2024-01-02,Центральная,8,2906
2024-01-02,Центральная,9,2377
2024-01-02,Центральная,10,2534
2024-01-02,Центральная,11,1044
2024-01-02,Центральная,12,1027
2024-01-02,Центральная,13,1092
2024-01-02,Центральная,14,1062
2024-01-02,Центральная,15,1105
2024-01-02,Центральная,16,904
2024-01-02,Центральная,17,3028
2024-01-02,Центральная,18,2575
2024-01-02,Центральная,19,2973
2024-01-02,Центральная,20,2399
2024-01-02,Центральная,21,667
2024-01-02,Центральная,22,817
2024-01-02,Центральная,23,607
2024-01-02,Восточная,0,142
2024-01-02,Восточная,1,154
2024-01-02,Восточная,2,168
2024-01-02,Восточная,3,170
2024-01-02,Восточная,4,178
2024-01-02,Восточная,5,158
2024-01-02,Восточная,6,141
2024-01-02,Восточная,7,1303
2024-01-02,Восточная,8,1483
2024-01-02,Восточная,9,1400
2024-01-02,Восточная,10,1138
2024-01-02,Восточная,11,673
2024-01-02,Восточная,12,750
2024-01-02,Восточная,13,789
2024-01-02,Восточная,14,705
2024-01-02,Восточная,15,691
2024-01-02,Восточная,16,608
2024-01-02,Восточная,17,1091
2024-01-02,Восточная,18,1174
2024-01-02,Восточная,19,1217
2024-01-02,Восточная,20,1224
2024-01-02,Восточная,21,389
2024-01-02,Восточная,22,367
2024-01-02,Восточная,23,379
2024-01-02,Западная,0,124
2024-01-02,Западная,1,143
2024-01-02,Западная,2,111
2024-01-02,Западная,3,133
2024-01-02,Западная,4,141
2024-01-02,Западная,5,153
2024-01-02,Западная,6,137
2024-01-02,Западная,7,1108
2024-01-02,Западная,8,993
2024-01-02,Западная,9,964
2024-01-02,Западная,10,970
2024-01-02,Западная,11,639
2024-01-02,Западная,12,615
2024-01-02,Западная,13,592
2024-01-02,Западная,14,721
2024-01-02,Западная,15,568
2024-01-02,Западная,16,598
2024-01-02,Западная,17,1129
2024-01-02,Западная,18,1082
2024-01-02,Западная,19,1306
2024-01-02,Западная,20,1234
2024-01-02,Западная,21,303
2024-01-02,Западная,22,331
2024-01-02,Западная,23,353
2024-01-02,Северная,0,156
2024-01-02,Северная,1,131
2024-01-02,Северная,2,120
2024-01-02,Северная,3,125
2024-01-02,Северная,4,146
2024-01-02,Северная,5,146
2024-01-02,Северная,6,151
2024-01-02,Северная,7,1077
2024-01-02,Северная,8,1035
2024-01-02,Северная,9,962
2024-01-02,Северная,10,1178
2024-01-02,Северная,11,633
2024-01-02,Северная,12,663
2024-01-02,Северная,13,653
2024-01-02,Северная,14,605
2024-01-02,Северная,15,681
2024-01-02,Северная,16,608
2024-01-02,Северная,17,1048
2024-01-02,Северная,18,1060
2024-01-02,Северная,19,1055
2024-01-02,Северная,20,915
2024-01-02,Северная,21,373
2024-01-02,Северная,22,376
2024-01-02,Северная,23,358
2024-01-02,Южная,0,118
2024-01-02,Южная,1,129
2024-01-02,Южная,2,143
2024-01-02,Южная,3,126
2024-01-02,Южная,4,120
2024-01-02,Южная,5,120
2024-01-02,Южная,6,125
2024-01-02,Южная,7,817
2024-01-02,Южная,8,900
2024-01-02,Южная,9,914
2024-01-02,Южная,10,1044
2024-01-02,Южная,11,564
2024-01-02,Южная,12,568
2024-01-02,Южная,13,495
2024-01-02,Южная,14,553
2024-01-02,Южная,15,477
2024-01-02,Южная,16,538
2024-01-02,Южная,17,904
2024-01-02,Южная,18,821
2024-01-02,Южная,19,1014
2024-01-02,Южная,20,914
2024-01-02,Южная,21,267
2024-01-02,Южная,22,328
2024-01-02,Южная,23,304
2024-01-02,Университет,0,198
2024-01-02,Университет,1,205
2024-01-02,Университет,2,204
2024-01-02,Университет,3,165
2024-01-02,Университет,4,179
2024-01-02,Университет,5,210
2024-01-02,Университет,6,218
2024-01-02,Университет,7,2027
2024-01-02,Университет,8,2013
2024-01-02,Университет,9,1470
2024-01-02,Университет,10,1868
2024-01-02,Университет,11,698
2024-01-02,Университет,12,931
2024-01-02,Университет,13,841
2024-01-02,Университет,14,749
2024-01-02,Университет,15,957
2024-01-02,Университет,16,867
2024-01-02,Университет,17,1120
2024-01-02,Университет,18,1350
2024-01-02,Университет,19,1242
2024-01-02,Университет,20,1331
2024-01-02,Университет,21,476
2024-01-02,Университет,22,549
2024-01-02,Университет,23,438
2024-01-02,Парк,0,119
2024-01-02,Парк,1,133
2024-01-02,Парк,2,109
2024-01-02,Парк,3,118
2024-01-02,Парк,4,118
2024-01-02,Парк,5,110
2024-01-02,Парк,6,123
2024-01-02,Парк,7,720
2024-01-02,Парк,8,661
2024-01-02,Парк,9,815
2024-01-02,Парк,10,760
2024-01-02,Парк,11,480
2024-01-02,Парк,12,462
2024-01-02,Парк,13,456
2024-01-02,Парк,14,535
2024-01-02,Парк,15,481
2024-01-02,Парк,16,505
2024-01-02,Парк,17,896
2024-01-02,Парк,18,954
2024-01-02,Парк,19,901
2024-01-02,Парк,20,965
2024-01-02,Парк,21,288
2024-01-02,Парк,22,311
2024-01-02,Парк,23,308
2024-01-02,Речная,0,103
2024-01-02,Речная,1,97
2024-01-02,Речная,2,96
2024-01-02,Речная,3,98
2024-01-02,Речная,4,96
2024-01-02,Речная,5,111
2024-01-02,Речная,6,104
2024-01-02,Речная,7,783
2024-01-02,Речная,8,822
2024-01-02,Речная,9,697
2024-01-02,Речная,10,609
2024-01-02,Речная,11,421
2024-01-02,Речная,12,432
2024-01-02,Речная,13,383
2024-01-02,Речная,14,426
2024-01-02,Речная,15,444
2024-01-02,Речная,16,419
2024-01-02,Речная,17,680
2024-01-02,Речная,18,680
2024-01-02,Речная,19,828
2024-01-02,Речная,20,715
2024-01-02,Речная,21,243
2024-01-02,Речная,22,253
2024-01-02,Речная,23,280
2024-01-03,Центральная,0,246
2024-01-03,Центральная,1,271
2024-01-03,Центральная,2,276
2024-01-03,Центральная,3,276
2024-01-03,Центральная,4,290
2024-01-03,Центральная,5,249
2024-01-03,Центральная,6,284
2024-01-03,Центральная,7,2308
2024-01-03,Центральная,8,2386
2024-01-03,Центральная,9,2700
2024-01-03,Центральная,10,2627
2024-01-03,Центральная,11,1087
2024-01-03,Центральная,12,983
2024-01-03,Центральная,13,1136
2024-01-03,Центральная,14,1032
2024-01-03,Центральная,15,1007
2024-01-03,Центральная,16,1031
2024-01-03,Центральная,17,2661
2024-01-03,Центральная,18,2167
2024-01-03,Центральная,19,2685
2024-01-03,Центральная,20,2646
2024-01-03,Центральная,21,621
2024-01-03,Центральная,22,706
2024-01-03,Центральная,23,684
2024-01-03,Восточная,0,154
2024-01-03,Восточная,1,153
2024-01-03,Восточная,2,171
2024-01-03,Восточная,3,142
2024-01-03,Восточная,4,157
2024-01-03,Восточная,5,153
2024-01-03,Восточная,6,162
2024-01-03,Восточная,7,1372
2024-01-03,Восточная,8,1353
2024-01-03,Восточная,9,1472
2024-01-03,Восточная,10,1374
2024-01-03,Восточная,11,657
2024-01-03,Восточная,12,609
2024-01-03,Восточная,13,713
2024-01-03,Восточная,14,703
2024-01-03,Восточная,15,753
2024-01-03,Восточная,16,634
2024-01-03,Восточная,17,1172
2024-01-03,Восточная,18,1164
2024-01-03,Восточная,19,1161
2024-01-03,Восточная,20,1170
2024-01-03,Восточная,21,349
2024-01-03,Восточная,22,431
2024-01-03,Восточная,23,426
2024-01-03,Западная,0,149
2024-01-03,Западная,1,161
2024-01-03,Западная,2,133
2024-01-03,Западная,3,136
2024-01-03,Западная,4,136
2024-01-03,Западная,5,158
2024-01-03,Западная,6,117
2024-01-03,Западная,7,1065
2024-01-03,Западная,8,905
2024-01-03,Западная,9,814
2024-01-03,Западная,10,860
2024-01-03,Западная,11,506
2024-01-03,Западная,12,618
2024-01-03,Западная,13,530
2024-01-03,Западная,14,559
2024-01-03,Западная,15,516
2024-01-03,Западная,16,597
2024-01-03,Западная,17,1004
2024-01-03,Западная,18,1218
2024-01-03,Западная,19,1014
2024-01-03,Западная,20,1034
2024-01-03,Западная,21,345
2024-01-03,Западная,22,342
2024-01-03,Западная,23,380
2024-01-03,Северная,0,149
2024-01-03,Северная,1,133
2024-01-03,Северная,2,140
2024-01-03,Северная,3,140
2024-01-03,Северная,4,156
2024-01-03,Северная,5,152
2024-01-03,Северная,6,146
2024-01-03,Северная,7,1227
2024-01-03,Северная,8,1099
2024-01-03,Северная,9,1135
2024-01-03,Северная,10,1164
2024-01-03,Северная,11,690
2024-01-03,Северная,12,610
2024-01-03,Северная,13,597
2024-01-03,Северная,14,563
2024-01-03,Северная,15,648
2024-01-03,Северная,16,586
2024-01-03,Северная,17,1137
2024-01-03,Северная,18,938
2024-01-03,Северная,19,1199
2024-01-03,Северная,20,989
2024-01-03,Северная,21,346
2024-01-03,Северная,22,400
2024-01-03,Северная,23,329
2024-01-03,Южная,0,125
2024-01-03,Южная,1,126
2024-01-03,Южная,2,115
2024-01-03,Южная,3,139
2024-01-03,Южная,4,141
2024-01-03,Южная,5,106
2024-01-03,Южная,6,111
2024-01-03,Южная,7,968
2024-01-03,Южная,8,815
2024-01-03,Южная,9,881
2024-01-03,Южная,10,919
2024-01-03,Южная,11,554
2024-01-03,Южная,12,515
2024-01-03,Южная,13,528
2024-01-03,Южная,14,492
2024-01-03,Южная,15,579
2024-01-03,Южная,16,504
2024-01-03,Южная,17,898
2024-01-03,Южная,18,839
2024-01-03,Южная,19,882
2024-01-03,Южная,20,863
2024-01-03,Южная,21,310
2024-01-03,Южная,22,289
2024-01-03,Южная,23,335
2024-01-03,Университет,0,220
2024-01-03,Университет,1,201
2024-01-03,Университет,2,209
2024-01-03,Университет,3,211
2024-01-03,Университет,4,212
2024-01-03,Университет,5,202
2024-01-03,Университет,6,201
2024-01-03,Университет,7,1881
2024-01-03,Университет,8,1769
2024-01-03,Университет,9,1622
2024-01-03,Университет,10,1763
2024-01-03,Университет,11,700
2024-01-03,Университет,12,824
2024-01-03,Университет,13,852
2024-01-03,Университет,14,906
2024-01-03,Университет,15,834
2024-01-03,Университет,16,886
2024-01-03,Университет,17,1319
2024-01-03,Университет,18,1211
2024-01-03,Университет,19,1170
2024-01-03,Университет,20,1217
2024-01-03,Университет,21,440
2024-01-03,Университет,22,520
2024-01-03,Университет,23,486
2024-01-03,Парк,0,122
2024-01-03,Парк,1,117
2024-01-03,Парк,2,126
2024-01-03,Парк,3,126
2024-01-03,Парк,4,110
2024-01-03,Парк,5,114
2024-01-03,Парк,6,112
2024-01-03,Парк,7,622
2024-01-03,Парк,8,753
2024-01-03,Парк,9,782
2024-01-03,Парк,10,714
2024-01-03,Парк,11,468
2024-01-03,Парк,12,530
2024-01-03,Парк,13,396
2024-01-03,Парк,14,494
2024-01-03,Парк,15,493
2024-01-03,Парк,16,465
2024-01-03,Парк,17,1011
2024-01-03,Парк,18,980
2024-01-03,Парк,19,890
2024-01-03,Парк,20,903
2024-01-03,Парк,21,283
2024-01-03,Парк,22,280
2024-01-03,Парк,23,261
2024-01-03,Речная,0,115
2024-01-03,Речная,1,112
2024-01-03,Речная,2,111
2024-01-03,Речная,3,95
2024-01-03,Речная,4,121
2024-01-03,Речная,5,120
2024-01-03,Речная,6,105
2024-01-03,Речная,7,645
2024-01-03,Речная,8,647
2024-01-03,Речная,9,719
2024-01-03,Речная,10,645
2024-01-03,Речная,11,433
2024-01-03,Речная,12,472
2024-01-03,Речная,13,382
2024-01-03,Речная,14,504
2024-01-03,Речная,15,489
2024-01-03,Речная,16,391
2024-01-03,Речная,17,643
2024-01-03,Речная,18,708
2024-01-03,Речная,19,665
2024-01-03,Речная,20,709
2024-01-03,Речная,21,207
2024-01-03,Речная,22,256
2024-01-03,Речная,23,298
2024-01-04,Центральная,0,237
2024-01-04,Центральная,1,255
2024-01-04,Центральная,2,229
2024-01-04,Центральная,3,274
2024-01-04,Центральная,4,256
2024-01-04,Центральная,5,301
2024-01-04,Центральная,6,265
2024-01-04,Центральная,7,2391
2024-01-04,Центральная,8,2573
2024-01-04,Центральная,9,2365
2024-01-04,Центральная,10,2200
2024-01-04,Центральная,11,1113
2024-01-04,Центральная,12,1072
2024-01-04,Центральная,13,1101
2024-01-04,Центральная,14,1120
2024-01-04,Центральная,15,1043
2024-01-04,Центральная,16,1124
2024-01-04,Центральная,17,2972
2024-01-04,Центральная,18,2378
2024-01-04,Центральная,19,2972
2024-01-04,Центральная,20,2559
2024-01-04,Центральная,21,612
2024-01-04,Центральная,22,779
2024-01-04,Центральная,23,660
2024-01-04,Восточная,0,179
2024-01-04,Восточная,1,172
2024-01-04,Восточная,2,140
2024-01-04,Восточная,3,163
2024-01-04,Восточная,4,155
2024-01-04,Восточная,5,144
2024-01-04,Восточная,6,139
2024-01-04,Восточная,7,1361
2024-01-04,Восточная,8,1413
2024-01-04,Восточная,9,1392
2024-01-04,Восточная,10,1316
2024-01-04,Восточная,11,631
2024-01-04,Восточная,12,621
2024-01-04,Восточная,13,645
2024-01-04,Восточная,14,619
2024-01-04,Восточная,15,664
2024-01-04,Восточная,16,673
2024-01-04,Восточная,17,1086
2024-01-04,Восточная,18,1148
2024-01-04,Восточная,19,1098
2024-01-04,Восточная,20,1169
2024-01-04,Восточная,21,421
2024-01-04,Восточная,22,410
2024-01-04,Восточная,23,420
2024-01-04,Западная,0,118
2024-01-04,Западная,1,132
2024-01-04,Западная,2,139
2024-01-04,Западная,3,143
2024-01-04,Западная,4,119
2024-01-04,Западная,5,138
2024-01-04,Западная,6,150
2024-01-04,Западная,7,1011
2024-01-04,Западная,8,1018
2024-01-04,Западная,9,1062
2024-01-04,Западная,10,1046
2024-01-04,Западная,11,600
2024-01-04,Западная,12,573
2024-01-04,Западная,13,576
2024-01-04,Западная,14,534
2024-01-04,Западная,15,562
2024-01-04,Западная,16,627
2024-01-04,Западная,17,1084
2024-01-04,Западная,18,1087
2024-01-04,Западная,19,1058
2024-01-04,Западная,20,1171
2024-01-04,Западная,21,318
2024-01-04,Западная,22,366
2024-01-04,Западная,23,316
2024-01-04,Северная,0,135
2024-01-04,Северная,1,150
2024-01-04,Северная,2,149
2024-01-04,Северная,3,151
2024-01-04,Северная,4,160
2024-01-04,Северная,5,142
2024-01-04,Северная,6,152
2024-01-04,Северная,7,1064
2024-01-04,Северная,8,1263
2024-01-04,Северная,9,1206
2024-01-04,Северная,10,1197
2024-01-04,Северная,11,624
2024-01-04,Северная,12,576
2024-01-04,Северная,13,598
2024-01-04,Северная,14,639
2024-01-04,Северная,15,614
2024-01-04,Северная,16,621
2024-01-04,Северная,17,986
2024-01-04,Северная,18,1123
2024-01-04,Северная,19,1045
2024-01-04,Северная,20,1011
2024-01-04,Северная,21,364
2024-01-04,Северная,22,314
2024-01-04,Северная,23,389
2024-01-04,Южная,0,134
2024-01-04,Южная,1,125
2024-01-04,Южная,2,115
2024-01-04,Южная,3,116
2024-01-04,Южная,4,124
2024-01-04,Южная,5,101
2024-01-04,Южная,6,127
2024-01-04,Южная,7,958
2024-01-04,Южная,8,887
2024-01-04,Южная,9,874
2024-01-04,Южная,10,923
2024-01-04,Южная,11,539
2024-01-04,Южная,12,570
2024-01-04,Южная,13,525
2024-01-04,Южная,14,496
2024-01-04,Южная,15,505
2024-01-04,Южная,16,532
2024-01-04,Южная,17,983
2024-01-04,Южная,18,852
2024-01-04,Южная,19,801
2024-01-04,Южная,20,814
2024-01-04,Южная,21,262
2024-01-04,Южная,22,323
2024-01-04,Южная,23,280
2024-01-04,Университет,0,178
2024-01-04,Университет,1,166
2024-01-04,Университет,2,180
2024-01-04,Университет,3,207
2024-01-04,Университет,4,177
2024-01-04,Университет,5,170
2024-01-04,Университет,6,200
2024-01-04,Университет,7,1711
2024-01-04,Университет,8,1820
2024-01-04,Университет,9,1864
2024-01-04,Университет,10,1758
2024-01-04,Университет,11,739
2024-01-04,Университет,12,816
2024-01-04,Университет,13,858
2024-01-04,Университет,14,786
2024-01-04,Университет,15,730
2024-01-04,Университет,16,897
2024-01-04,Университет,17,1276
2024-01-04,Университет,18,1276
2024-01-04,Университет,19,1321
2024-01-04,Университет,20,1428
2024-01-04,Университет,21,505
2024-01-04,Университет,22,481
2024-01-04,Университет,23,522
2024-01-04,Парк,0,137
2024-01-04,Парк,1,129
2024-01-04,Парк,2,123
2024-01-04,Парк,3,106
2024-01-04,Парк,4,152
2024-01-04,Парк,5,105
2024-01-04,Парк,6,113
2024-01-04,Парк,7,674
2024-01-04,Парк,8,808
2024-01-04,Парк,9,739
2024-01-04,Парк,10,633
2024-01-04,Парк,11,497
2024-01-04,Парк,12,508
2024-01-04,Парк,13,475
2024-01-04,Парк,14,439
2024-01-04,Парк,15,459
2024-01-04,Парк,16,470
2024-01-04,Парк,17,911
2024-01-04,Парк,18,872
2024-01-04,Парк,19,963
2024-01-04,Парк,20,840
2024-01-04,Парк,21,251
2024-01-04,Парк,22,275
2024-01-04,Парк,23,324
2024-01-04,Речная,0,99
2024-01-04,Речная,1,123
2024-01-04,Речная,2,108
2024-01-04,Речная,3,94
2024-01-04,Речная,4,97
2024-01-04,Речная,5,106
2024-01-04,Речная,6,94
2024-01-04,Речная,7,828
2024-01-04,Речная,8,640
2024-01-04,Речная,9,733
2024-01-04,Речная,10,777
2024-01-04,Речная,11,431
2024-01-04,Речная,12,400
2024-01-04,Речная,13,425
2024-01-04,Речная,14,447
2024-01-04,Речная,15,465
2024-01-04,Речная,16,436
2024-01-04,Речная,17,643
2024-01-04,Речная,18,727
2024-01-04,Речная,19,685
2024-01-04,Речная,20,598
2024-01-04,Речная,21,246
2024-01-04,Речная,22,231
2024-01-04,Речная,23,273
2024-01-05,Центральная,0,301
2024-01-05,Центральная,1,299
2024-01-05,Центральная,2,249
2024-01-05,Центральная,3,251
2024-01-05,Центральная,4,275
2024-01-05,Центральная,5,283
2024-01-05,Центральная,6,252
2024-01-05,Центральная,7,2436
2024-01-05,Центральная,8,2900
2024-01-05,Центральная,9,2443
2024-01-05,Центральная,10,2369
2024-01-05,Центральная,11,1097
2024-01-05,Центральная,12,1137
2024-01-05,Центральная,13,998
2024-01-05,Центральная,14,1065
2024-01-05,Центральная,15,986
2024-01-05,Центральная,16,1063
2024-01-05,Центральная,17,3001
2024-01-05,Центральная,18,2764
2024-01-05,Центральная,19,2590
2024-01-05,Центральная,20,2415
2024-01-05,Центральная,21,636
2024-01-05,Центральная,22,707
2024-01-05,Центральная,23,623
2024-01-05,Восточная,0,180
2024-01-05,Восточная,1,144
2024-01-05,Восточная,2,158
2024-01-05,Восточная,3,184
2024-01-05,Восточная,4,135
2024-01-05,Восточная,5,177
2024-01-05,Восточная,6,138
2024-01-05,Восточная,7,1340
2024-01-05,Восточная,8,1331
2024-01-05,Восточная,9,1439
2024-01-05,Восточная,10,1009
2024-01-05,Восточная,11,571
2024-01-05,Восточная,12,644
2024-01-05,Восточная,13,676
2024-01-05,Восточная,14,626
2024-01-05,Восточная,15,663
2024-01-05,Восточная,16,610
2024-01-05,Восточная,17,1132
2024-01-05,Восточная,18,1090
2024-01-05,Восточная,19,1192
2024-01-05,Восточная,20,1224
2024-01-05,Восточная,21,451
2024-01-05,Восточная,22,383
2024-01-05,Восточная,23,394
2024-01-05,Западная,0,137
2024-01-05,Западная,1,133
2024-01-05,Западная,2,136
2024-01-05,Западная,3,119
2024-01-05,Западная,4,140
2024-01-05,Западная,5,126
2024-01-05,Западная,6,126
2024-01-05,Западная,7,895
2024-01-05,Западная,8,1121
2024-01-05,Западная,9,1014
2024-01-05,Западная,10,1120
2024-01-05,Западная,11,582
2024-01-05,Западная,12,492
2024-01-05,Западная,13,520
2024-01-05,Западная,14,604
2024-01-05,Западная,15,535
2024-01-05,Западная,16,520
2024-01-05,Западная,17,1086
2024-01-05,Западная,18,1086
2024-01-05,Западная,19,1012
2024-01-05,Западная,20,1073
2024-01-05,Западная,21,328
2024-01-05,Западная,22,271
2024-01-05,Западная,23,355
2024-01-05,Северная,0,138
2024-01-05,Северная,1,163
2024-01-05,Северная,2,134
2024-01-05,Северная,3,128
2024-01-05,Северная,4,161
2024-01-05,Северная,5,128
2024-01-05,Северная,6,140
2024-01-05,Северная,7,1202
2024-01-05,Северная,8,1117
2024-01-05,Северная,9,995
2024-01-05,Северная,10,1165
2024-01-05,Северная,11,605
2024-01-05,Северная,12,678
2024-01-05,Северная,13,643
2024-01-05,Северная,14,764
2024-01-05,Северная,15,534
2024-01-05,Северная,16,613
2024-01-05,Северная,17,1012
2024-01-05,Северная,18,1209
2024-01-05,Северная,19,1179
2024-01-05,Северная,20,1173
2024-01-05,Северная,21,346
2024-01-05,Северная,22,347
2024-01-05,Северная,23,309
2024-01-05,Южная,0,143
2024-01-05,Южная,1,131
2024-01-05,Южная,2,123
2024-01-05,Южная,3,135
2024-01-05,Южная,4,133
2024-01-05,Южная,5,135
2024-01-05,Южная,6,109
2024-01-05,Южная,7,858
2024-01-05,Южная,8,924
2024-01-05,Южная,9,935
2024-01-05,Южная,10,979
2024-01-05,Южная,11,482
2024-01-05,Южная,12,530
2024-01-05,Южная,13,617
2024-01-05,Южная,14,554
2024-01-05,Южная,15,561
2024-01-05,Южная,16,524
2024-01-05,Южная,17,928
2024-01-05,Южная,18,1001
2024-01-05,Южная,19,882
2024-01-05,Южная,20,960
2024-01-05,Южная,21,292
2024-01-05,Южная,22,329
2024-01-05,Южная,23,337
2024-01-05,Университет,0,186
2024-01-05,Университет,1,215
2024-01-05,Университет,2,187
2024-01-05,Университет,3,185
2024-01-05,Университет,4,197
2024-01-05,Университет,5,228
2024-01-05,Университет,6,202
2024-01-05,Университет,7,1891
2024-01-05,Университет,8,1656
2024-01-05,Университет,9,1770
2024-01-05,Университет,10,1594
2024-01-05,Университет,11,787
2024-01-05,Университет,12,880
