date,category,region,sales,income
2025-01-07,fruits,krasnoyarsk,200,55090
2025-01-07,fruits,irkutsk,197,65467
2025-01-07,fruits,kansk,202,75232
2025-01-07,vegetables,krasnoyarsk,200,41810
2025-01-07,vegetables,irkutsk,197,37203
2025-01-07,vegetables,kansk,199,45817
2025-01-07,greens,krasnoyarsk,199,29018
2025-01-07,greens,irkutsk,201,28831
2025-01-07,greens,kansk,200,26556
2025-01-07,flowers,krasnoyarsk,201,152888
2025-01-07,flowers,irkutsk,201,101842
2025-01-07,flowers,kansk,197,145114
2025-01-08,mushrooms,krasnoyarsk,197,83719
2025-01-08,mushrooms,irkutsk,201,111169
2025-01-08,mushrooms,kansk,201,88287
2025-01-08,fruits,krasnoyarsk,202,58283
2025-01-08,fruits,irkutsk,204,66750
2025-01-08,fruits,kansk,203,55252
2025-01-08,vegetables,krasnoyarsk,201,46258
2025-01-08,vegetables,irkutsk,199,39553
2025-01-08,vegetables,kansk,199,38996
2025-01-08,greens,krasnoyarsk,200,33944
2025-01-08,greens,irkutsk,200,26830
2025-01-08,greens,kansk,198,35830
2025-01-08,flowers,krasnoyarsk,199,166204
2025-01-08,flowers,irkutsk,200,135556
2025-01-08,flowers,kansk,198,133782
2025-01-09,mushrooms,krasnoyarsk,201,93251
2025-01-09,mushrooms,irkutsk,197,98064
2025-01-09,mushrooms,kansk,202,102601
2025-01-09,fruits,krasnoyarsk,201,70424
2025-01-09,fruits,irkutsk,200,61134
2025-01-09,fruits,kansk,201,66096
2025-01-09,vegetables,krasnoyarsk,201,36139
2025-01-09,vegetables,irkutsk,198,42397
2025-01-09,vegetables,kansk,201,39677
2025-01-09,greens,krasnoyarsk,198,34349
2025-01-09,greens,irkutsk,200,28018
2025-01-09,greens,kansk,197,30932
2025-01-09,flowers,krasnoyarsk,201,167115
2025-01-09,flowers,irkutsk,203,188861
2025-01-09,flowers,kansk,196,170525
2025-01-10,mushrooms,krasnoyarsk,199,103119
2025-01-10,mushrooms,irkutsk,198,103561
2025-01-10,mushrooms,kansk,201,106749
2025-01-10,fruits,krasnoyarsk,199,54924
2025-01-10,fruits,irkutsk,197,58680
2025-01-10,fruits,kansk,202,51566
2025-01-10,vegetables,krasnoyarsk,200,36290
2025-01-10,vegetables,irkutsk,200,42790
2025-01-10,vegetables,kansk,197,42152
2025-01-10,greens,krasnoyarsk,201,33106
2025-01-10,greens,irkutsk,198,33113
2025-01-10,greens,kansk,201,29008
2025-01-10,flowers,krasnoyarsk,198,135057
2025-01-10,flowers,irkutsk,201,166598
2025-01-10,flowers,kansk,200,160032
2025-01-11,mushrooms,krasnoyarsk,196,95081
2025-01-11,mushrooms,irkutsk,196,98411
2025-01-11,mushrooms,kansk,199,96115
2025-01-11,fruits,krasnoyarsk,196,69630
2025-01-11,fruits,irkutsk,200,63529
2025-01-11,fruits,kansk,199,55521
2025-01-11,vegetables,krasnoyarsk,204,48662
2025-01-11,vegetables,irkutsk,201,38517
2025-01-11,vegetables,kansk,201,34111
2025-01-11,greens,krasnoyarsk,200,31438
2025-01-11,greens,irkutsk,201,26089
2025-01-11,greens,kansk,200,32239
2025-01-11,flowers,krasnoyarsk,200,147344
2025-01-11,flowers,irkutsk,198,174875
2025-01-11,flowers,kansk,200,167098
2025-01-12,mushrooms,krasnoyarsk,202,98763
2025-01-12,mushrooms,irkutsk,199,94869
2025-01-12,mushrooms,kansk,201,96914
2025-01-12,fruits,krasnoyarsk,198,56685
2025-01-12,fruits,irkutsk,199,57656
2025-01-12,fruits,kansk,201,64225
2025-01-12,vegetables,krasnoyarsk,199,41704
2025-01-12,vegetables,irkutsk,200,36466
2025-01-12,vegetables,kansk,200,38732
2025-01-12,greens,krasnoyarsk,197,29961
2025-01-12,greens,irkutsk,201,29754
2025-01-12,greens,kansk,195,29138
2025-01-12,flowers,krasnoyarsk,199,129244
2025-01-12,flowers,irkutsk,201,203896
2025-01-12,flowers,kansk,199,166537
2025-01-13,mushrooms,krasnoyarsk,198,110244
2025-01-13,mushrooms,irkutsk,198,97257
2025-01-13,mushrooms,kansk,202,91360
2025-01-13,fruits,krasnoyarsk,199,60157
2025-01-13,fruits,irkutsk,200,70998
2025-01-13,fruits,kansk,195,54213
2025-01-13,vegetables,krasnoyarsk,203,44867
2025-01-13,vegetables,irkutsk,201,36252
2025-01-13,vegetables,kansk,201,39556
2025-01-13,greens,krasnoyarsk,199,30584
2025-01-13,greens,irkutsk,200,24706
2025-01-13,greens,kansk,195,28471
2025-01-13,flowers,krasnoyarsk,197,132647
2025-01-13,flowers,irkutsk,198,150836
2025-01-13,flowers,kansk,196,167237
2025-01-14,mushrooms,krasnoyarsk,202,106829
2025-01-14,mushrooms,irkutsk,202,91170
2025-01-14,mushrooms,kansk,202,82777
2025-01-14,fruits,krasnoyarsk,200,70520
2025-01-14,fruits,irkutsk,201,59134
2025-01-14,fruits,kansk,199,54707
2025-01-14,vegetables,krasnoyarsk,198,44049
2025-01-14,vegetables,irkutsk,201,38768
2025-01-14,vegetables,kansk,198,36251
2025-01-14,greens,krasnoyarsk,200,29786
2025-01-14,greens,irkutsk,195,25745
2025-01-14,greens,kansk,200,32254
2025-01-14,flowers,krasnoyarsk,197,189216
2025-01-14,flowers,irkutsk,196,124755
2025-01-14,flowers,kansk,198,189000
2025-01-15,mushrooms,krasnoyarsk,199,91671
2025-01-15,mushrooms,irkutsk,197,84625
2025-01-15,mushrooms,kansk,201,93555
2025-01-15,fruits,krasnoyarsk,201,58398
2025-01-15,fruits,irkutsk,200,62404
2025-01-15,fruits,kansk,199,52498
2025-01-15,vegetables,krasnoyarsk,201,39221
2025-01-15,vegetables,irkutsk,200,40514
2025-01-15,vegetables,kansk,201,32455
2025-01-15,greens,krasnoyarsk,201,31319
2025-01-15,greens,irkutsk,200,33882
2025-01-15,greens,kansk,198,27450
2025-01-15,flowers,krasnoyarsk,198,143080
2025-01-15,flowers,irkutsk,200,180794
2025-01-15,flowers,kansk,203,163920
2025-01-16,mushrooms,krasnoyarsk,195,114334
2025-01-16,mushrooms,irkutsk,203,115677
2025-01-16,mushrooms,kansk,200,96620
2025-01-16,fruits,krasnoyarsk,203,66385
2025-01-16,fruits,irkutsk,201,64770
2025-01-16,fruits,kansk,201,55254
2025-01-16,vegetables,krasnoyarsk,201,40360
2025-01-16,vegetables,irkutsk,198,43803
2025-01-16,vegetables,kansk,199,44514
2025-01-16,greens,krasnoyarsk,198,24676
2025-01-16,greens,irkutsk,198,27617
2025-01-16,greens,kansk,201,29932
2025-01-16,flowers,krasnoyarsk,199,184371
2025-01-16,flowers,irkutsk,195,169334
2025-01-16,flowers,kansk,196,187029
2025-01-17,mushrooms,krasnoyarsk,200,94690
2025-01-17,mushrooms,irkutsk,202,112677
2025-01-17,mushrooms,kansk,199,99253
2025-01-17,fruits,krasnoyarsk,200,60436
2025-01-17,fruits,irkutsk,199,56707
2025-01-17,fruits,kansk,200,61858
2025-01-17,vegetables,krasnoyarsk,197,38929
2025-01-17,vegetables,irkutsk,202,34515
2025-01-17,vegetables,kansk,199,38279
2025-01-17,greens,krasnoyarsk,199,30868
2025-01-17,greens,irkutsk,197,31762
2025-01-17,greens,kansk,199,25676
2025-01-17,flowers,krasnoyarsk,203,167263
2025-01-17,flowers,irkutsk,197,153417
2025-01-17,flowers,kansk,199,172039
2025-01-18,mushrooms,krasnoyarsk,197,117967
2025-01-18,mushrooms,irkutsk,202,96012
2025-01-18,mushrooms,kansk,198,108808
2025-01-18,fruits,krasnoyarsk,197,56440
2025-01-18,fruits,irkutsk,203,58041
2025-01-18,fruits,kansk,201,57942
2025-01-18,vegetables,krasnoyarsk,202,40038
2025-01-18,vegetables,irkutsk,199,49077
2025-01-18,vegetables,kansk,197,41775
2025-01-18,greens,krasnoyarsk,201,30041
2025-01-18,greens,irkutsk,201,27066
2025-01-18,greens,kansk,198,21425
2025-01-18,flowers,krasnoyarsk,201,168150
2025-01-18,flowers,irkutsk,196,181286
2025-01-18,flowers,kansk,197,134208
2025-01-19,mushrooms,krasnoyarsk,202,108478
2025-01-19,mushrooms,irkutsk,201,88825
2025-01-19,mushrooms,kansk,197,102152
2025-01-19,fruits,krasnoyarsk,204,67083
2025-01-19,fruits,irkutsk,197,58154
2025-01-19,fruits,kansk,197,59387
2025-01-19,vegetables,krasnoyarsk,195,41753
2025-01-19,vegetables,irkutsk,201,47825
2025-01-19,vegetables,kansk,200,45084
2025-01-19,greens,krasnoyarsk,197,25312
2025-01-19,greens,irkutsk,200,27266
2025-01-19,greens,kansk,201,30517
2025-01-19,flowers,krasnoyarsk,201,157399
2025-01-19,flowers,irkutsk,197,152554
2025-01-19,flowers,kansk,201,185307
2025-01-20,mushrooms,krasnoyarsk,197,114807
2025-01-20,mushrooms,irkutsk,203,89149
2025-01-20,mushrooms,kansk,199,101899
2025-01-20,fruits,krasnoyarsk,200,59654
2025-01-20,fruits,irkutsk,200,62355
2025-01-20,fruits,kansk,198,61570
2025-01-20,vegetables,krasnoyarsk,201,30970
2025-01-20,vegetables,irkutsk,201,36095
2025-01-20,vegetables,kansk,201,42517
2025-01-20,greens,krasnoyarsk,199,30626
2025-01-20,greens,irkutsk,203,37234
2025-01-20,greens,kansk,202,35079
2025-01-20,flowers,krasnoyarsk,199,178431
2025-01-20,flowers,irkutsk,202,161741
2025-01-20,flowers,kansk,198,138962
2025-01-21,mushrooms,krasnoyarsk,201,103521
2025-01-21,mushrooms,irkutsk,200,102864
2025-01-21,mushrooms,kansk,198,101364
2025-01-21,fruits,krasnoyarsk,201,66880
2025-01-21,fruits,irkutsk,198,57140
2025-01-21,fruits,kansk,203,47079
2025-01-21,vegetables,krasnoyarsk,203,38852
2025-01-21,vegetables,irkutsk,195,37233
2025-01-21,vegetables,kansk,205,38898
2025-01-21,greens,krasnoyarsk,200,41154
2025-01-21,greens,irkutsk,204,32760
2025-01-21,greens,kansk,199,31895
2025-01-21,flowers,krasnoyarsk,199,162451
2025-01-21,flowers,irkutsk,202,159834
2025-01-21,flowers,kansk,200,204810
2025-01-22,mushrooms,krasnoyarsk,199,103004
2025-01-22,mushrooms,irkutsk,199,101529
2025-01-22,mushrooms,kansk,199,113824
2025-01-22,fruits,krasnoyarsk,199,58679
2025-01-22,fruits,irkutsk,195,57739
2025-01-22,fruits,kansk,202,46118
2025-01-22,vegetables,krasnoyarsk,200,45728
2025-01-22,vegetables,irkutsk,202,41042
2025-01-22,vegetables,kansk,197,39336
2025-01-22,greens,krasnoyarsk,200,31683
2025-01-22,greens,irkutsk,198,27622
2025-01-22,greens,kansk,200,25300
2025-01-22,flowers,krasnoyarsk,200,151794
2025-01-22,flowers,irkutsk,202,145888
2025-01-22,flowers,kansk,200,157150
2025-01-23,mushrooms,krasnoyarsk,199,92584
2025-01-23,mushrooms,irkutsk,202,105965
2025-01-23,mushrooms,kansk,201,115281
2025-01-23,fruits,krasnoyarsk,199,49937
2025-01-23,fruits,irkutsk,200,57626
2025-01-23,fruits,kansk,198,58695
2025-01-23,vegetables,krasnoyarsk,199,38723
2025-01-23,vegetables,irkutsk,201,41176
2025-01-23,vegetables,kansk,197,37514
2025-01-23,greens,krasnoyarsk,200,27844
2025-01-23,greens,irkutsk,200,30614
2025-01-23,greens,kansk,199,31008
2025-01-23,flowers,krasnoyarsk,200,172450
2025-01-23,flowers,irkutsk,202,134018
2025-01-23,flowers,kansk,203,158057
2025-01-24,mushrooms,krasnoyarsk,201,116041
2025-01-24,mushrooms,irkutsk,199,130810
2025-01-24,mushrooms,kansk,201,94904
2025-01-24,fruits,krasnoyarsk,199,58163
2025-01-24,fruits,irkutsk,203,73717
2025-01-24,fruits,kansk,198,66215
2025-01-24,vegetables,krasnoyarsk,204,38190
2025-01-24,vegetables,irkutsk,202,37404
2025-01-24,vegetables,kansk,197,43334
2025-01-24,greens,krasnoyarsk,200,28636
2025-01-24,greens,irkutsk,203,29428
2025-01-24,greens,kansk,199,32866
2025-01-24,flowers,krasnoyarsk,200,151678
2025-01-24,flowers,irkutsk,198,139928
2025-01-24,flowers,kansk,200,161514
2025-01-25,mushrooms,krasnoyarsk,198,93333
2025-01-25,mushrooms,irkutsk,201,110813
2025-01-25,mushrooms,kansk,203,114226
2025-01-25,fruits,krasnoyarsk,197,64452
2025-01-25,fruits,irkutsk,200,54114
2025-01-25,fruits,kansk,200,67848
2025-01-25,vegetables,krasnoyarsk,198,32054
2025-01-25,vegetables,irkutsk,195,40060
2025-01-25,vegetables,kansk,197,34165
2025-01-25,greens,krasnoyarsk,199,29784
2025-01-25,greens,irkutsk,201,34640
2025-01-25,greens,kansk,201,27448
2025-01-25,flowers,krasnoyarsk,201,157282
2025-01-25,flowers,irkutsk,198,170986
2025-01-25,flowers,kansk,200,164218
2025-01-26,mushrooms,krasnoyarsk,199,107338
2025-01-26,mushrooms,irkutsk,198,89173
2025-01-26,mushrooms,kansk,198,84534
2025-01-26,fruits,krasnoyarsk,197,65801
2025-01-26,fruits,irkutsk,200,51929
2025-01-26,fruits,kansk,203,77464
2025-01-26,vegetables,krasnoyarsk,199,41179
2025-01-26,vegetables,irkutsk,201,40147
2025-01-26,vegetables,kansk,197,37902
2025-01-26,greens,krasnoyarsk,201,29430
2025-01-26,greens,irkutsk,197,27268
2025-01-26,greens,kansk,202,32010
2025-01-26,flowers,krasnoyarsk,200,131692
2025-01-26,flowers,irkutsk,199,134581
2025-01-26,flowers,kansk,196,150731
2025-01-27,mushrooms,krasnoyarsk,201,100845
2025-01-27,mushrooms,irkutsk,199,102948
2025-01-27,mushrooms,kansk,199,96777
2025-01-27,fruits,krasnoyarsk,202,66965
2025-01-27,fruits,irkutsk,201,53516
2025-01-27,fruits,kansk,201,56368
2025-01-27,vegetables,krasnoyarsk,198,41568
2025-01-27,vegetables,irkutsk,201,35747
2025-01-27,vegetables,kansk,201,36780
2025-01-27,greens,krasnoyarsk,202,29889
2025-01-27,greens,irkutsk,201,30861
2025-01-27,greens,kansk,199,33370
2025-01-27,flowers,krasnoyarsk,197,193467
2025-01-27,flowers,irkutsk,200,148824
2025-01-27,flowers,kansk,200,146136
2025-01-28,mushrooms,krasnoyarsk,202,97260
2025-01-28,mushrooms,irkutsk,199,83810
2025-01-28,mushrooms,kansk,201,86434
2025-01-28,fruits,krasnoyarsk,197,47037
2025-01-28,fruits,irkutsk,202,63593
2025-01-28,fruits,kansk,202,58224
2025-01-28,vegetables,krasnoyarsk,198,38429
2025-01-28,vegetables,irkutsk,201,44545
2025-01-28,vegetables,kansk,201,46778
2025-01-28,greens,krasnoyarsk,197,34606
2025-01-28,greens,irkutsk,196,33229
2025-01-28,greens,kansk,200,24904
2025-01-28,flowers,krasnoyarsk,199,167020
2025-01-28,flowers,irkutsk,197,137876
2025-01-28,flowers,kansk,200,139472
2025-01-29,mushrooms,krasnoyarsk,200,91384
2025-01-29,mushrooms,irkutsk,200,110220
2025-01-29,mushrooms,kansk,201,89507
2025-01-29,fruits,krasnoyarsk,199,57684
2025-01-29,fruits,irkutsk,198,52315
2025-01-29,fruits,kansk,195,61684
2025-01-29,vegetables,krasnoyarsk,203,41669
2025-01-29,vegetables,irkutsk,200,36812
2025-01-29,vegetables,kansk,199,48657
2025-01-29,greens,krasnoyarsk,201,29832
2025-01-29,greens,irkutsk,201,30529
2025-01-29,greens,kansk,201,33671
2025-01-29,flowers,krasnoyarsk,201,216424
2025-01-29,flowers,irkutsk,199,176439
2025-01-29,flowers,kansk,201,174922
2025-01-30,mushrooms,krasnoyarsk,202,95206
2025-01-30,mushrooms,irkutsk,203,118489
2025-01-30,mushrooms,kansk,198,96562
2025-01-30,fruits,krasnoyarsk,201,58985
2025-01-30,fruits,irkutsk,202,69110
2025-01-30,fruits,kansk,201,48712
2025-01-30,vegetables,krasnoyarsk,201,34302
2025-01-30,vegetables,irkutsk,199,41945
2025-01-30,vegetables,kansk,200,35202
2025-01-30,greens,krasnoyarsk,199,28856
2025-01-30,greens,irkutsk,198,32755
2025-01-30,greens,kansk,199,31336
2025-01-30,flowers,krasnoyarsk,202,139258
2025-01-30,flowers,irkutsk,197,170202
2025-01-30,flowers,kansk,201,143660
2025-01-31,mushrooms,krasnoyarsk,200,82526
2025-01-31,mushrooms,irkutsk,200,90160
2025-01-31,mushrooms,kansk,202,120802
2025-01-31,fruits,krasnoyarsk,200,50428
2025-01-31,fruits,irkutsk,199,57819
2025-01-31,fruits,kansk,203,54941
2025-01-31,vegetables,krasnoyarsk,202,42260
2025-01-31,vegetables,irkutsk,200,39954
2025-01-31,vegetables,kansk,199,39985
2025-01-31,greens,krasnoyarsk,202,29710
2025-01-31,greens,irkutsk,198,27902
2025-01-31,greens,kansk,198,28478
2025-01-31,flowers,krasnoyarsk,198,174216
2025-01-31,flowers,irkutsk,197,151437
2025-01-31,flowers,kansk,199,171482
2025-02-01,mushrooms,krasnoyarsk,201,94779
2025-02-01,mushrooms,irkutsk,200,94342
2025-02-01,mushrooms,kansk,200,109974
2025-02-01,fruits,krasnoyarsk,196,60375
2025-02-01,fruits,irkutsk,201,61148
2025-02-01,fruits,kansk,197,57874
2025-02-01,vegetables,krasnoyarsk,203,44477
2025-02-01,vegetables,irkutsk,203,40021
2025-02-01,vegetables,kansk,198,41372
2025-02-01,greens,krasnoyarsk,198,30238
2025-02-01,greens,irkutsk,202,32342
2025-02-01,greens,kansk,197,30103
2025-02-01,flowers,krasnoyarsk,203,135319
2025-02-01,flowers,irkutsk,195,155223
2025-02-01,flowers,kansk,203,101091
2025-02-02,mushrooms,krasnoyarsk,198,89264
2025-02-02,mushrooms,irkutsk,200,111246
2025-02-02,mushrooms,kansk,199,104126
2025-02-02,fruits,krasnoyarsk,199,54726
2025-02-02,fruits,irkutsk,200,61540
2025-02-02,fruits,kansk,200,63878
2025-02-02,vegetables,krasnoyarsk,197,38736
2025-02-02,vegetables,irkutsk,200,41546
2025-02-02,vegetables,kansk,199,39037
2025-02-02,greens,krasnoyarsk,204,30457
2025-02-02,greens,irkutsk,199,28154
2025-02-02,greens,kansk,202,31786
2025-02-02,flowers,krasnoyarsk,200,151306
2025-02-02,flowers,irkutsk,200,162248
2025-02-02,flowers,kansk,198,159013
2025-02-03,mushrooms,krasnoyarsk,198,95909
2025-02-03,mushrooms,irkutsk,204,98831
2025-02-03,mushrooms,kansk,199,114542
2025-02-03,fruits,krasnoyarsk,198,56133
2025-02-03,fruits,irkutsk,199,63387
2025-02-03,fruits,kansk,198,48589
2025-02-03,vegetables,krasnoyarsk,202,41131
2025-02-03,vegetables,irkutsk,199,45258
2025-02-03,vegetables,kansk,198,33858
2025-02-03,greens,krasnoyarsk,202,29445
2025-02-03,greens,irkutsk,200,29418
2025-02-03,greens,kansk,200,26706
2025-02-03,flowers,krasnoyarsk,202,157107
2025-02-03,flowers,irkutsk,200,155144
2025-02-03,flowers,kansk,199,194086
2025-02-04,mushrooms,krasnoyarsk,197,88460
2025-02-04,mushrooms,irkutsk,200,113098
2025-02-04,mushrooms,kansk,198,86817
2025-02-04,fruits,krasnoyarsk,199,55604
2025-02-04,fruits,irkutsk,198,59651
2025-02-04,fruits,kansk,198,58037
2025-02-04,vegetables,krasnoyarsk,201,46441
2025-02-04,vegetables,irkutsk,198,35010
2025-02-04,vegetables,kansk,199,46002
2025-02-04,greens,krasnoyarsk,205,32472
2025-02-04,greens,irkutsk,200,28722
2025-02-04,greens,kansk,200,25989
2025-02-04,flowers,krasnoyarsk,200,167994
2025-02-04,flowers,irkutsk,199,206219
2025-02-04,flowers,kansk,202,181553
2025-02-05,mushrooms,krasnoyarsk,201,114505
2025-02-05,mushrooms,irkutsk,204,96810
2025-02-05,mushrooms,kansk,199,87341
2025-02-05,fruits,krasnoyarsk,201,65907
2025-02-05,fruits,irkutsk,202,58876
2025-02-05,fruits,kansk,201,41711
2025-02-05,vegetables,krasnoyarsk,202,37860
2025-02-05,vegetables,irkutsk,197,44364
2025-02-05,vegetables,kansk,200,44084
2025-02-05,greens,krasnoyarsk,202,34111
2025-02-05,greens,irkutsk,204,28282
2025-02-05,greens,kansk,199,24946
2025-02-05,flowers,krasnoyarsk,200,154308
2025-02-05,flowers,irkutsk,200,162740
2025-02-05,flowers,kansk,197,157318
2025-02-06,mushrooms,krasnoyarsk,198,90634
2025-02-06,mushrooms,irkutsk,200,83260
2025-02-06,mushrooms,kansk,200,97910
2025-02-06,fruits,krasnoyarsk,199,61974
2025-02-06,fruits,irkutsk,201,68494
2025-02-06,fruits,kansk,200,47134
2025-02-06,vegetables,krasnoyarsk,199,43314
2025-02-06,vegetables,irkutsk,201,31331
2025-02-06,vegetables,kansk,199,41708
2025-02-06,greens,krasnoyarsk,199,30811
2025-02-06,greens,irkutsk,198,26918
2025-02-06,greens,kansk,202,23225
2025-02-06,flowers,krasnoyarsk,200,149146
2025-02-06,flowers,irkutsk,202,188451
2025-02-06,flowers,kansk,199,208052
2025-02-07,mushrooms,krasnoyarsk,201,120069
2025-02-07,mushrooms,irkutsk,198,91291
2025-02-07,mushrooms,kansk,199,92586
2025-02-07,fruits,krasnoyarsk,200,59504
2025-02-07,fruits,irkutsk,200,63040
2025-02-07,fruits,kansk,203,62974
2025-02-07,vegetables,krasnoyarsk,199,40377
2025-02-07,vegetables,irkutsk,201,35464
2025-02-07,vegetables,kansk,199,37515
2025-02-07,greens,krasnoyarsk,197,25442
2025-02-07,greens,irkutsk,199,32747
2025-02-07,greens,kansk,198,29347
2025-02-07,flowers,krasnoyarsk,197,137626
2025-02-07,flowers,irkutsk,200,133240
2025-02-07,flowers,kansk,200,153734
2025-02-08,mushrooms,krasnoyarsk,197,97166
2025-02-08,mushrooms,irkutsk,200,75220
2025-02-08,mushrooms,kansk,200,85966
2025-02-08,fruits,krasnoyarsk,201,59379
2025-02-08,fruits,irkutsk,198,62548
2025-02-08,fruits,kansk,199,56657
2025-02-08,vegetables,krasnoyarsk,199,40518
2025-02-08,vegetables,irkutsk,198,43482
2025-02-08,vegetables,kansk,199,40781
2025-02-08,greens,krasnoyarsk,203,28880
2025-02-08,greens,irkutsk,202,28150
2025-02-08,greens,kansk,201,30302
2025-02-08,flowers,krasnoyarsk,201,154566
2025-02-08,flowers,irkutsk,197,132567
2025-02-08,flowers,kansk,195,116838
2025-02-09,mushrooms,krasnoyarsk,197,89867
2025-02-09,mushrooms,irkutsk,201,103625
2025-02-09,mushrooms,kansk,199,88266
2025-02-09,fruits,krasnoyarsk,199,65729
2025-02-09,fruits,irkutsk,201,58919
2025-02-09,fruits,kansk,198,50468
2025-02-09,vegetables,krasnoyarsk,203,48356
2025-02-09,vegetables,irkutsk,204,37489
2025-02-09,vegetables,kansk,199,34365
2025-02-09,greens,krasnoyarsk,198,31238
2025-02-09,greens,irkutsk,201,30047
2025-02-09,greens,kansk,202,32146
2025-02-09,flowers,krasnoyarsk,203,142816
2025-02-09,flowers,irkutsk,200,165970
2025-02-09,flowers,kansk,200,148600
2025-02-10,mushrooms,krasnoyarsk,200,121520
2025-02-10,mushrooms,irkutsk,201,102548
2025-02-10,mushrooms,kansk,201,88856
2025-02-10,fruits,krasnoyarsk,195,61428
2025-02-10,fruits,irkutsk,197,52713
2025-02-10,fruits,kansk,198,65078
2025-02-10,vegetables,krasnoyarsk,196,36456
2025-02-10,vegetables,irkutsk,202,50633
2025-02-10,vegetables,kansk,201,40481
2025-02-10,greens,krasnoyarsk,199,33135
2025-02-10,greens,irkutsk,199,27766
2025-02-10,greens,kansk,198,30604
2025-02-10,flowers,krasnoyarsk,197,183424
2025-02-10,flowers,irkutsk,197,153648
